event1_start_date,event1_end_date,event2_start_date,event2_end_date
9/25/2023,10/5/2023,10/3/2023,10/20/2024
9/25/2023,10/5/2023,9/1/2023,10/20/2024
9/10/2023,9/12/2023,9/1/2023,9/30/2023
9/1/2023,9/30/2023,9/10/2023,9/12/2023
9/25/2023,10/5/2023,10/3/2023,10/5/2024
9/25/2023,10/5/2023,10/20/2023,11/12/2024
10/20/2023,11/12/2024,9/25/2023,10/5/2023
9/15/2023,9/15/2023,9/10/2023,9/20/2023
9/15/2023,9/10/2023,9/10/2023,9/20/2023
9/10/2023,9/15/2023,9/20/2023,9/1/2023
9/10/2023,9/5/2023,9/20/2023,9/1/2023
,9/5/2023,9/20/2023,9/1/2023
